tiempo,prediccion,fase_aplicada,Bolivar_llegada_Cordero_cola,Bolivar_llegada_Cordero_espera,LuisCordero_entre_Bolivar_Sucre_cola,LuisCordero_entre_Bolivar_Sucre_espera
412.0,0,0,5,14.0,0,0.0
413.0,0,0,5,14.714285714285714,0,0.0
414.0,0,0,6,15.571428571428571,0,0.0
415.0,0,0,6,16.428571428571427,0,0.0
416.0,0,0,6,17.285714285714285,0,0.0
417.0,0,0,7,18.285714285714285,0,0.0
418.0,0,0,7,19.285714285714285,0,0.0
419.0,0,0,7,20.285714285714285,0,0.0
420.0,0,0,7,21.285714285714285,0,0.0
421.0,0,0,8,19.5,0,0.0
422.0,0,0,7,20.375,0,0.0
423.0,0,0,7,21.25,0,0.0
424.0,0,0,7,22.125,0,0.0
425.0,0,0,7,23.0,0,0.0
426.0,0,0,7,23.875,0,0.0
427.0,0,0,7,24.75,0,0.0
428.0,0,0,7,25.625,0,0.0
429.0,0,0,7,26.5,0,0.0
430.0,0,0,7,27.375,0,0.0
431.0,0,0,7,28.25,0,0.0
432.0,0,0,8,29.25,0,0.0
433.0,0,0,9,26.88888888888889,0,0.0
434.0,0,0,8,27.77777777777778,0,0.0
435.0,0,0,9,25.8,0,0.0
436.0,0,0,8,26.6,0,0.0
437.0,0,0,8,27.4,0,0.0
438.0,0,0,9,25.636363636363637,0,0.0
439.0,0,0,8,26.363636363636363,0,0.0
440.0,0,0,8,27.09090909090909,0,0.0
441.0,0,0,8,27.818181818181817,0,0.0
442.0,0,0,8,28.545454545454547,0,0.0
443.0,0,0,9,29.363636363636363,0,0.0
444.0,0,0,9,30.181818181818183,0,0.0
445.0,0,0,9,31.0,0,0.0
446.0,0,0,10,31.90909090909091,0,0.0
447.0,0,0,11,32.90909090909091,0,0.0
448.0,0,0,11,33.90909090909091,0,0.0
449.0,0,0,11,34.90909090909091,0,0.0
450.0,0,0,11,35.90909090909091,0,0.0
451.0,0,0,11,36.90909090909091,0,0.0
452.0,0,0,11,37.90909090909091,0,0.0
453.0,0,0,11,38.90909090909091,0,0.0
454.0,0,0,11,39.90909090909091,0,0.0
455.0,0,0,11,40.90909090909091,0,0.0
456.0,0,0,11,41.90909090909091,0,0.0
457.0,0,0,11,42.90909090909091,0,0.0
458.0,0,0,11,43.90909090909091,0,0.0
459.0,0,0,11,44.90909090909091,0,0.0
460.0,0,0,11,45.90909090909091,0,0.0
461.0,0,0,10,44.4,0,0.0
462.0,0,0,9,38.3,1,0.3333333333333333
463.0,0,0,8,32.1,2,1.0
464.0,0,0,7,28.666666666666668,2,1.6666666666666667
465.0,0,0,6,21.88888888888889,3,2.0
466.0,0,0,5,16.666666666666668,3,2.75
467.0,0,0,4,13.0,3,3.5
468.0,0,0,3,8.875,3,4.25
469.0,1,0,2,6.714285714285714,3,5.0
470.0,1,1,2,7.0,3,4.6
471.0,1,1,1,3.5714285714285716,3,6.5
472.0,1,1,0,0.0,4,7.5
473.0,1,1,0,0.0,4,6.8
474.0,1,1,0,0.0,4,9.5
475.0,1,1,0,0.0,4,10.5
476.0,1,1,0,0.0,4,11.5
477.0,1,1,0,0.0,4,10.0
478.0,1,1,0,0.0,4,10.8
479.0,1,1,0,0.0,4,11.6
480.0,1,1,0,0.0,4,12.4
481.0,1,1,1,0.0,4,13.2
482.0,1,1,0,0.0,4,11.666666666666666
483.0,1,1,0,0.0,4,10.571428571428571
484.0,1,1,1,0.0,5,13.166666666666666
485.0,1,1,0,0.0,5,12.0
486.0,1,1,0,0.0,5,11.125
487.0,1,1,1,0.0,6,13.571428571428571
488.0,1,1,0,0.0,6,14.428571428571429
489.0,1,1,1,0.0,6,15.285714285714286
490.0,1,1,0,0.0,6,14.125
491.0,1,1,1,0.0,7,15.0
492.0,1,1,0,0.0,7,15.875
493.0,1,1,1,0.0,7,14.88888888888889
494.0,1,1,0,0.0,8,15.777777777777779
495.0,1,1,1,0.0,8,16.666666666666668
496.0,1,1,0,0.0,8,15.8
497.0,1,1,0,0.0,9,18.555555555555557
